Date,price,arimax_pred,garch_vol
2024-08-27,166.61000061035156,-0.3957450126476091,4.781362507759293
2024-08-28,138.30999755859375,166.60950493965876,4.781362507759293
2024-08-29,142.22000122070312,141.897474713171,11.174489822041698
2024-08-30,147.57000732421875,142.58484284026085,6.1874014469908
2024-09-03,142.94000244140625,146.96093702376248,4.591064779626952
2024-09-04,139.66000366210938,143.60205885894393,3.8152112097760393
2024-09-05,137.8300018310547,140.28321640259608,3.366969617721315
2024-09-06,130.92999267578125,138.22098834726603,3.049967425377337
2024-09-09,133.25999450683594,131.9179916667603,4.210323943418872
2024-09-10,129.86000061035156,133.1254623610703,3.4250047849932637
2024-09-11,131.2100067138672,130.3525341209619,3.340211489376336
2024-09-12,137.5399932861328,131.1065617414727,3.0496924804283907
2024-09-13,142.19000244140625,136.48237597460076,4.270957538884301
2024-09-16,134.6199951171875,141.3705073450071,3.9190580381320594
2024-09-17,134.41000366210938,135.57434117963544,4.515101316980556
2024-09-18,135.4499969482422,134.68435446837242,3.291989825104949
2024-09-19,139.32000732421875,135.36031169114545,3.0001873253080897
2024-09-20,141.8000030517578,138.69439835031898,3.4456913387258705
2024-09-23,140.64999389648438,141.35661477918637,3.2238770264651357
2024-09-24,142.10000610351562,140.77740969480084,2.9537975423526146
2024-09-25,137.72999572753906,141.90319806837863,2.955752189264855
2024-09-26,137.92999267578125,138.3133655215923,3.4041148319439425
2024-09-27,144.5,138.02234326499538,2.9770192360574605
2024-09-30,139.89999389648438,143.43312310069857,4.230713382712916
2024-10-01,135.72999572753906,140.46645236200553,3.7335925634141156
2024-10-02,133.72000122070312,136.4499175808582,3.5439533745216782
2024-10-03,134.1199951171875,134.1607574541235,3.122694449349518
2024-10-04,146.32000732421875,134.14335613092723,2.913672408222357
2024-10-07,139.0399932861328,144.2116770820242,6.512656708849918
2024-10-08,142.3699951171875,139.93267487811835,5.017573690513391
2024-10-09,140.8699951171875,142.1073034571221,3.813078766586463
2024-10-10,143.25,141.11014720851443,3.13423588827911
2024-10-11,149.75,142.93231411874777,3.1285372283610804
2024-10-14,155.52000427246094,148.65160488819018,4.152215712391133
2024-10-15,160.24000549316406,154.5056709055063,4.069166342873828
2024-10-16,163.77999877929688,159.41405542451375,3.7472778177664248
2024-10-17,160.64999389648438,163.15877004874727,3.410090907881396
2024-10-18,156.75,161.0426106606135,3.1732010515383284
2024-10-21,159.88999938964844,157.3820889631638,3.247443142936957
2024-10-22,154.82000732421875,159.51826374948052,3.2336039351457675
2024-10-23,147.82000732421875,155.49699695471378,3.494047230755382
2024-10-24,142.63999938964844,148.91339611412596,4.0744778436621605
2024-10-25,141.52999877929688,143.59521219144878,3.802975705112481
2024-10-28,137.9199981689453,141.89486633620547,3.1045492256666467
2024-10-29,138.47000122070312,138.49749154477342,3.2676297820804012
2024-10-30,136.5399932861328,138.49983138468025,2.956606559667375
2024-10-31,131.7899932861328,136.83071994832113,2.964652473936435
2024-11-01,131.25999450683594,132.49093399253107,3.550922116757896
2024-11-04,137.8000030517578,131.48745812628997,3.01393964820642
2024-11-05,137.35000610351562,136.75171309180107,4.339668799764996
2024-11-06,135.3000030517578,137.35211749163318,3.239406605675377
2024-11-07,141.55999755859375,135.6209420841624,3.0481908358318037
2024-11-08,143.97000122070312,140.5833503203404,4.179261159869677
2024-11-11,140.25,143.53104006131292,3.399097265277524
2024-11-12,139.92999267578125,140.7424288691246,3.3435525705857367
2024-11-13,141.72999572753906,140.08290686639032,2.9554862703827713
2024-11-14,144.60000610351562,141.48131069695305,3.001308163076484
2024-11-15,144.63999938964844,144.12113020326908,3.184737108647981
2024-11-18,143.4199981689453,144.5850057274509,2.9170881567957223
2024-11-19,142.5800018310547,143.59603421939636,2.883012044090982
2024-11-20,136.80999755859375,142.73338253432195,2.8550424268917687
2024-11-21,141.57000732421875,137.61615941479673,3.7556141762672763
2024-11-22,151.99000549316406,140.97568721839926,3.8335930028387386
2024-11-25,154.5,150.20021819993696,5.671938560980551
2024-11-26,146.6199951171875,154.0113116878564,3.8522582331981763
2024-11-27,148.55999755859375,147.6735966768635,4.400222220033828
2024-11-29,149.69000244140625,148.51196888457287,3.3882017557348725
2024-12-02,157.30999755859375,149.5450799361831,3.0229668281849267
2024-12-03,154.97000122070312,156.04213468738135,4.392568640107747
2024-12-04,161.52000427246094,155.21477249189206,3.361202824186593
2024-12-05,149.9499969482422,160.5249779358445,4.056541822703148
2024-12-06,151.35000610351562,151.4076924185578,5.441295481209501
2024-12-09,140.07000732421875,151.5057325328951,3.6634457393323685
2024-12-10,138.25999450683594,141.61585224185038,5.52939486813015
2024-12-11,137.2100067138672,138.91044646046083,3.6990265822501747
2024-12-12,137.5,137.51454627021195,3.0742120220424183
2024-12-13,142.6199951171875,137.5168407845378,2.896873295057736
2024-12-16,146.85000610351562,141.78993223487598,3.758505531095918
2024-12-17,152.74000549316406,146.1067683644081,3.648510924020722
2024-12-18,144.89999389648438,151.72284516038016,4.02205396806848
2024-12-19,153.25,145.87905913975644,4.449389203158712
2024-12-20,154.55999755859375,152.1106818958072,4.973648493976088
2024-12-23,152.9600067138672,154.31790339378335,3.498747970036127
2024-12-24,152.07000732421875,153.19928089269683,3.047132626053275
2024-12-26,155.33999633789062,152.2506249297253,2.8935112130098575
2024-12-27,153.8800048828125,154.85551949057782,3.197286995309272
2024-12-30,154.64999389648438,154.04470648137013,2.9597544250459085
2024-12-31,149.47000122070312,154.56576458897587,2.890089745664957
2025-01-02,153.24000549316406,150.178096084652,3.4887893825249026
