Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker
2023-08-28 00:00:00-04:00,430.77416354640883,431.90409213335346,428.56302787298,431.28070068359375,61595400,0.0,0.0,0.0,SPY
2023-08-29 00:00:00-04:00,431.1735437614665,437.7972600904608,430.98846745487197,437.5147705078125,83081900,0.0,0.0,0.0,SPY
2023-08-30 00:00:00-04:00,437.85572346311113,439.95972547776927,437.14463921223677,439.31683349609375,69053900,0.0,0.0,0.0,SPY
2023-08-31 00:00:00-04:00,439.94020308607463,441.0896024538122,438.48884337132733,438.6739196777344,66084600,0.0,0.0,0.0,SPY
2023-09-01 00:00:00-04:00,441.4208022646098,441.9078389055889,438.02126629665247,439.49212646484375,58944100,0.0,0.0,0.0,SPY
2023-09-05 00:00:00-04:00,439.0440713226715,439.3655024336204,437.52451934546986,437.5926818847656,55166200,0.0,0.0,0.0,SPY
2023-09-06 00:00:00-04:00,436.77444302751485,436.88160654362133,432.30345033958156,434.6509704589844,70758500,0.0,0.0,0.0,SPY
2023-09-07 00:00:00-04:00,431.6216813026438,433.9984229490925,431.27102912187104,433.31658935546875,70355400,0.0,0.0,0.0,SPY
2023-09-08 00:00:00-04:00,433.3651955346585,435.5178891561439,433.0047931779344,433.9691162109375,61659700,0.0,0.0,0.0,SPY
2023-09-11 00:00:00-04:00,436.61863486064624,437.13489255414964,434.8945357090652,436.8232116699219,60180100,0.0,0.0,0.0,SPY
2023-09-12 00:00:00-04:00,435.36207268757624,436.90109541972345,433.8425207199116,434.42694091796875,67565400,0.0,0.0,0.0,SPY
2023-09-13 00:00:00-04:00,434.6510430993779,436.1024029842044,433.5405851308054,434.93353271484375,60199300,0.0,0.0,0.0,SPY
2023-09-14 00:00:00-04:00,437.4271520106992,439.38501934482065,436.11214696599234,438.6836853027344,83430800,0.0,0.0,0.0,SPY
2023-09-15 00:00:00-04:00,437.0834832144138,437.4158327666278,432.95839314801873,433.39825439453125,111848900,1.583,0.0,0.0,SPY
2023-09-18 00:00:00-04:00,433.0854632297016,434.9622941238854,432.6064932410341,433.6524353027344,55752200,0.0,0.0,0.0,SPY
2023-09-19 00:00:00-04:00,432.7237581931341,433.32005430730095,430.04539257632695,432.7530822753906,66514600,0.0,0.0,0.0,SPY
2023-09-20 00:00:00-04:00,434.0238470457339,434.4441688205573,428.56932928566505,428.7746276855469,82562600,0.0,0.0,0.0,SPY
2023-09-21 00:00:00-04:00,425.90077594366056,426.16469269187604,421.5313085692554,421.6877136230469,104095800,0.0,0.0,0.0,SPY
2023-09-22 00:00:00-04:00,422.7238443366611,424.3367284697756,420.31915034642003,420.739501953125,100829700,0.0,0.0,0.0,SPY
2023-09-25 00:00:00-04:00,419.5176437627186,422.547898470282,419.077752682607,422.5088195800781,70874500,0.0,0.0,0.0,SPY
2023-09-26 00:00:00-04:00,419.439432018477,420.15302449578013,415.4609622919606,416.3016357421875,96168400,0.0,0.0,0.0,SPY
2023-09-27 00:00:00-04:00,417.48442192763537,418.0513939980137,412.7923894609656,416.4678039550781,104705800,0.0,0.0,0.0,SPY
2023-09-28 00:00:00-04:00,415.91059586816203,420.5733036845924,415.3142997859203,418.8822021484375,92258300,0.0,0.0,0.0,SPY
2023-09-29 00:00:00-04:00,421.96139691596545,422.1373414072314,416.3309345457559,417.8656311035156,115111300,0.0,0.0,0.0,SPY
